,Title,IMDB Rating,IMDB Rank,Year,Classification,Genre
0,The Shawshank Redemption,9.3,1,1994,Young,Drama
1,The Godfather,9.2,2,1972,Young,Drama
2,The Dark Knight,9.0,3,2008,Young,Action
3,The Godfather: Part II,9.0,4,1974,Young,Drama
4,The Lord of the Rings: The Return of the King,8.9,5,2003,Young,Drama
5,Pulp Fiction,8.9,6,1994,Adult,Drama
6,Schindler's List,8.9,7,1993,Young,Biography
7,12 Angry Men,8.9,8,1957,,Drama
8,Inception,8.8,9,2010,Young,Action
9,Fight Club,8.8,10,1999,Adult,Drama
10,The Lord of the Rings: The Fellowship of the Ring,8.8,11,2001,Young,Action
11,Forrest Gump,8.8,12,1994,Young,Drama
12,"Il buono, il brutto, il cattivo",8.8,13,1966,,Western
13,The Lord of the Rings: The Two Towers,8.7,14,2002,Young,Drama
14,The Matrix,8.7,15,1999,Young,Action
15,Goodfellas,8.7,16,1990,Adult,Biography
16,Star Wars: Episode V - The Empire Strikes Back,8.7,17,1980,Young,Action
17,One Flew Over the Cuckoo's Nest,8.7,18,1975,,Drama
18,Seppuku,8.7,19,1962,,Action
19,Gisaengchung,8.6,20,2019,Adult,Comedy
20,Interstellar,8.6,21,2014,Young,Drama
21,Cidade de Deus,8.6,22,2002,Adult,Drama
22,Sen to Chihiro no kamikakushi,8.6,23,2001,Young,Animation
23,Saving Private Ryan,8.6,24,1998,Young,Drama
24,The Green Mile,8.6,25,1999,Adult,Drama
25,La vita è bella,8.6,26,1997,Young,Comedy
26,Se7en,8.6,27,1995,Adult,Drama
27,The Silence of the Lambs,8.6,28,1991,Adult,Drama
28,Star Wars,8.6,29,1977,Young,Action
29,Anand,8.6,30,1971,,Drama
30,Shichinin no samurai,8.6,31,1954,,Action
31,It's a Wonderful Life,8.6,32,1946,,Drama
32,Joker,8.5,33,2019,Adult,Drama
33,Whiplash,8.5,34,2014,Adult,Drama
34,The Intouchables,8.5,35,2011,Adult,Biography
35,The Prestige,8.5,36,2006,Young,Drama
36,The Departed,8.5,37,2006,Adult,Drama
37,The Pianist,8.5,38,2002,Adult,Biography
38,Gladiator,8.5,39,2000,Young,Action
39,American History X,8.5,40,1998,Adult,Drama
